comment,xgboost,mat,ggsatd,voting_label,annotator1_label,annotator2_label,annotator3_label,label
/** * The interface for defining strategies to deal with syntax errors encountered * during a parse by ANTLR-generated parsers. We distinguish between three * different kinds of errors: * * <ul> * <li>The parser could not figure out which path to take in the ATN (none of * the available alternatives could possibly match)</li> * <li>The current input does not match what we were looking for</li> * <li>A predicate evaluated to false</li> * </ul> * * Implementations of this interface report syntax errors by calling * {@link Parser#notifyErrorListeners}. * * <p>TODO: what to do about lexers</p> */,1,1,0,1,-1,-1,-1,-1
"/** * We cannot execute predicates dependent upon local context unless * we know for sure we are in the correct context. Because there is * no way to do this efficiently, we simply cannot evaluate * dependent predicates unless we are in the rule that initially * invokes the ATN simulator. * * <p> * closure() tracks the depth of how far we dip into the outer context: * depth &gt; 0.  Note that it may not be totally accurate depth since I * don't ever decrement. TODO: make it a boolean then</p> * * <p> * For memory efficiency, the {@link #isPrecedenceFilterSuppressed} method * is also backed by this field. Since the field is publicly accessible, the * highest bit which would not cause the value to become negative is used to * store this field. This choice minimizes the risk that code which only * compares this value to 0 would be affected by the new purpose of the * flag. It also ensures the performance of the existing {@link ATNConfig} * constructors as well as certain operations like * {@link ATNConfigSet#add(ATNConfig, DoubleKeyMap)} method are * <em>completely</em> unaffected by the change.</p> */",1,1,0,1,-1,-1,-1,-1
// // Optimize away p||p and p&&p TODO: optimize() was a no-op,1,1,1,1,-1,-1,-1,-1
// HACK: multiplying with 1.1 should be replaced wit an accurate number,1,1,1,1,-1,-1,-1,-1
// TODO,1,1,0,1,-1,-1,-1,-1
// TODO (sam): should we really allow null here?,1,1,1,1,-1,-1,-1,-1
// TODO (sam): what to do when configs==null?,1,1,1,1,-1,-1,-1,-1
// TODO(wjkohnen): simplify to `while (stdout.Read() > 1) {}`,1,1,1,1,-1,-1,-1,-1
// TODO: CharBuffer.wrap(String) rightfully returns a read-only buffer,1,1,1,1,-1,-1,-1,-1
// TODO: Do we lose character or line position information?,1,1,1,1,-1,-1,-1,-1
// TODO: This test cannot pass unless we change either the grammar,1,1,1,1,-1,-1,-1,-1
// TODO: Token is missing (i.e. position in source is not displayed).,1,1,1,1,-1,-1,-1,-1
// TODO: add fatal for which phase? sync with ErrorManager,1,1,1,1,-1,-1,-1,-1
// TODO: allow doc comment in there,1,1,0,1,-1,-1,-1,-1
// TODO: can remove? only care when we add to set per middle of this method,1,1,1,1,-1,-1,-1,-1
// TODO: can we track conflicts as they are added to save scanning configs later?,1,1,1,1,-1,-1,-1,-1
"// TODO: check for invalid token/rule names, bad syntax",1,1,1,1,-1,-1,-1,-1
"// TODO: chk that all or no alts have ""# label""",1,1,0,1,-1,-1,-1,-1
// TODO: do we gen errors now?,1,1,1,1,-1,-1,-1,-1
// TODO: do we need?,1,1,1,1,-1,-1,-1,-1
// TODO: does not handle delayed errors per getSynValidOrSemInvalidAltThatFinishedDecisionEntryRule(),1,1,1,1,-1,-1,-1,-1
// TODO: don't include this node!!,1,1,1,1,-1,-1,-1,-1
// TODO: dup with tokenRef,1,1,1,1,-1,-1,-1,-1
// TODO: extra checks depending on rule kind?,1,1,1,1,-1,-1,-1,-1
// TODO: extra checks depending on terminal kind?,1,1,1,1,-1,-1,-1,-1
"// TODO: if the entry rule is invoked recursively, some",1,1,0,1,-1,-1,-1,-1
// TODO: maybe I need a Subrule object like Rule so these options mov to that?,1,1,1,1,-1,-1,-1,-1
// TODO: migrate to test framework,1,1,1,1,-1,-1,-1,-1
// TODO: move into ctx?,1,1,1,1,-1,-1,-1,-1
// TODO: move to basetree when i settle on how runtime works,1,1,1,1,-1,-1,-1,-1
// TODO: move to factory,1,1,1,1,-1,-1,-1,-1
// TODO: need something like: String goExecutable = locateGo();,1,1,1,1,-1,-1,-1,-1
// TODO: not yet implemented,1,1,1,1,-1,-1,-1,-1
// TODO: port to test framework (can we simplify the Psl grammar?),1,1,1,1,-1,-1,-1,-1
// TODO: port to test framework (missing templates),1,1,1,1,-1,-1,-1,-1
// TODO: port to test framework (not ported because test currently fails),1,1,1,1,-1,-1,-1,-1
// TODO: reuse other method,1,1,1,1,-1,-1,-1,-1
// TODO: should need just 1,1,1,1,1,-1,-1,-1,-1
// TODO: take out after stable if slow,1,1,1,1,-1,-1,-1,-1
"// TODO: these fields make me pretty uncomfortable but nice to pack up info together, saves recomputation",1,1,1,1,-1,-1,-1,-1
"// TODO: this strips the tree properly, but since text()",1,1,1,1,-1,-1,-1,-1
// TODO: track whether this is possible above during merge sort for speed,1,1,1,1,-1,-1,-1,-1
// TODO: try to remove,1,1,1,1,-1,-1,-1,-1
// TODO: useful in parser?,1,1,1,1,-1,-1,-1,-1
// TODO: we are separate now right?,1,1,1,1,-1,-1,-1,-1
// todo: isn't this Rule or something?,1,1,1,1,-1,-1,-1,-1
"// todo: update grammar, alter AST",1,1,0,1,-1,-1,-1,-1
"/**     * Compiler Warning 180.     *     * <p>chars ""a-f"" used multiple times in set [a-fc-m]</p>     *     * <pre>     * A:    [aa-z];   // warning     * B:    [a-fc-m]; // warning     * </pre>     *     * TODO: Does not work with fragment rules.     */",1,1,1,1,-1,-1,-1,-1
"/**     * Convert the int list to a char array where values > 0x7FFFF take 2 bytes. TODO?????     *  If all values are less     *  than the 0x7FFF 16-bit code point limit (1 bit taken to indicatethen this is just a char array     *  of 16-bit char as usual. For values in the supplementary range, encode     * them as two UTF-16 code units.     */",1,1,1,1,-1,-1,-1,-1
"/**     * Find and replace     *      ID*[','] with ID (',' ID)*     *      ID+[','] with ID (',' ID)+     *      (x {action} y)+[','] with x {action} y (',' x {action} y)+     *     *  Parameter must be a token.     *  todo: do we want?     */",1,1,1,1,-1,-1,-1,-1
"/**     * For reference to rule r, build     *     *  o-e-&gt;(r)  o     *     *  where (r) is the start of rule r and the trailing o is not linked     *  to from rule ref state directly (it's done thru the transition(0)     *  RuleClosureTransition.     *     *  If the rule r is just a list of tokens, it's block will be just     *  a set on an edge o-&gt;o-&gt;o-set-&gt;o-&gt;o-&gt;o, could inline it rather than doing     *  the rule reference, but i'm not doing this yet as I'm not sure     *  it would help much in the ATN-&gt;DFA construction.     *     *  TODO add to codegen: collapse alt blks that are sets into single matchSet     * @param node     */",1,1,0,1,-1,-1,-1,-1
"/**     * From {@code A|B|..|Z} alternative block build     *     * <pre>     *  o-&gt;o-A-&gt;o-&gt;o (last ATNState is BlockEndState pointed to by all alts)     *  |          ^     *  |-&gt;o-B-&gt;o--|     *  |          |     *  ...        |     *  |          |     *  |-&gt;o-Z-&gt;o--|     * </pre>     *     * So start node points at every alternative with epsilon transition and     * every alt right side points at a block end ATNState.     * <p>     * Special case: only one alternative: don't make a block with alt     * begin/end.     * <p>     * Special case: if just a list of tokens/chars/sets, then collapse to a     * single edged o-set-&gt;o graph.     * <p>     * TODO: Set alt number (1..n) in the states?     */",1,1,0,1,-1,-1,-1,-1
"/**     * We cannot execute predicates dependent upon local context unless     * we know for sure we are in the correct context. Because there is     * no way to do this efficiently, we simply cannot evaluate     * dependent predicates unless we are in the rule that initially     * invokes the ATN simulator.     *     * <p>     * closure() tracks the depth of how far we dip into the outer context:     * depth &gt; 0.  Note that it may not be totally accurate depth since I     * don't ever decrement. TODO: make it a boolean then</p>     *     * <p>     * For memory efficiency, the {@link #isPrecedenceFilterSuppressed} method     * is also backed by this field. Since the field is publicly accessible, the     * highest bit which would not cause the value to become negative is used to     * store this field. This choice minimizes the risk that code which only     * compares this value to 0 would be affected by the new purpose of the     * flag. It also ensures the performance of the existing {@link ATNConfig}     * constructors as well as certain operations like     * {@link ATNConfigSet#add(ATNConfig, DoubleKeyMap)} method are     * <em>completely</em> unaffected by the change.</p>     */",1,1,0,1,-1,-1,-1,-1
// // Optimize away p||p and p&&p TODO: optimize() was a no-op// for (int i = 0; i < altToPred.length; i++) {// altToPred[i] = altToPred[i].optimize();// }// nonambig alts are null in altToPred,1,1,1,1,-1,-1,-1,-1
"// System.out.println(""consuming char ""+(char)input.LA(1)+"" during recovery"");// re.printStackTrace();// TODO: Do we lose character or line position information?",1,1,1,1,-1,-1,-1,-1
"// TODO: CharBuffer.wrap(String) rightfully returns a read-only buffer// which doesn't expose its array, so we make a copy.",1,1,1,1,-1,-1,-1,-1
// TODO: This test cannot pass unless we change either the grammar// parser to decode surrogate pair literals to code points (which// would break existing clients) or to treat them as an// alternative://// '\\uD83C\\uDF0D' -> ('\\u{1F30E}' | '\\uD83C\\uDF0D')//// but I worry that might cause parse ambiguity if we're not careful.// @Test,1,1,1,1,-1,-1,-1,-1
// TODO: move to basetree when i settle on how runtime works// TODO: don't include this node!!// TODO: reuse other method,1,1,1,1,-1,-1,-1,-1
"// TODO: these fields make me pretty uncomfortable but nice to pack up info together, saves recomputation// TODO: can we track conflicts as they are added to save scanning configs later?",1,1,1,1,-1,-1,-1,-1
"// TODO: this strips the tree properly, but since text()// uses the start of stop token index and gets text from that// ineffectively ignores this routine.",1,1,1,1,-1,-1,-1,-1
"// execute actions anywhere in the start rule for a token.//// TODO: if the entry rule is invoked recursively, some// actions may be executed during the recursive call. The// problem can appear when hasEmptyPath() is true but// isEmpty() is false. In this case, the config needs to be// split into two contexts - one with just the empty path// and another with everything but the empty path.// Unfortunately, the current algorithm does not allow// getEpsilonTarget to return two configurations, so// additional modifications are needed before we can support// the split operation.",1,1,1,1,-1,-1,-1,-1
"// if combined grammar, gen Parser and Lexer will be done later// TODO: we are separate now right?",1,1,1,1,-1,-1,-1,-1
"// if we created same array as a or b, return that instead// TODO: track whether this is possible above during merge sort for speed",1,1,1,1,-1,-1,-1,-1
// no reach on current lookahead symbol. ERROR.// TODO: does not handle delayed errors per getSynValidOrSemInvalidAltThatFinishedDecisionEntryRule(),1,1,1,1,-1,-1,-1,-1
"/*                // TODO: it is a bug in Eclipse Photon.                try {                    treeViewer.expandToLevel(runnable.getResult(), 1, true);                } catch (Throwable e) {                    treeViewer.expandToLevel(runnable.getResult(), 1);                }*/",1,1,1,1,-1,-1,-1,-1
"/*             * FIXME:			 * 	Should copy the printer data to avoid threading issues,			 *	but this is currently not possible, see http://bugs.eclipse.org/297957			 */",1,1,0,1,-1,-1,-1,-1
/*         * FIXME: We have a pretty major problem with inheritance and managers         * FIXME: we search for constraint manager by class which is also a parent         * FIXME: for indexes and foreign keys this may lead to incorrect manager provided for key         * Temporary workaround - provide primary key before indexes and foreign keys in getChildTypes         */,1,1,1,1,-1,-1,-1,-1
/*    private String getHoverInfo()    {        String text = null;        IPreferenceStore store = DBWorkbench.getPlatform().getPreferenceStore();        for (Annotation annotation : annotations) {            if (annotation instanceof MarkerAnnotation) {                try {                    IMarker marker = ((MarkerAnnotation) annotation).getMarker();                    if (marker.getType().equals(SQLConstants.SYNTAX_MARKER_TYPE)                        || marker.getType().equals(SQLConstants.PORTABILITY_MARKER_TYPE)) {                        if (store.getBoolean(SQLPreferenceConstants.SHOW_SYNTAX_ERROR_DETAIL)) {                            text = (String) marker.getBinding(IMarker.MESSAGE);                        } else {                            text = (String) marker.getBinding(SQLConstants.SHORT_MESSAGE);                        }                        //TODO: consider combine multiple annotations                        break;                    }                }                catch (CoreException e) {                    log.error(e);                }            }        }        annotations.clear();        return text;    }*/,1,1,0,1,-1,-1,-1,-1
"/*    public static final String PROMPT = "">"";    public static final String COMMAND_ATTACH = ""A"";    public static final String COMMAND_CLOSE = ""X"";    public static final String COMMAND_STACK = ""S"";    public static final String COMMAND_FRAME = ""F"";    public static final String COMMAND_VARIABLES = ""V"";    public static final String COMMAND_VARIABLE_SET = ""="";    public static final String COMMAND_BREAKPOINT = ""B"";    public static final String COMMAND_BREAKPOINT_REMOVE = ""R"";    public static final String COMMAND_BREAKPOINT_LIST = ""L"";    public static final String COMMAND_CONTINUE = ""C"";    public static final String COMMAND_INTO = ""I"";    public static final String COMMAND_OVER = ""O"";    public static final String COMMAND_TERMINATE = ""E"";    public static final String COMMAND_SESSIONS = ""W"";    public static final String COMMAND_OBJ = ""D"";    public static final String COMMAND_NEW = ""N"";    public static final String COMMAND_DEBUG_LIST = ""Q"";    public static final String COMMAND_HELP = ""?"";    public static final String ANY_ARG = ""*"";    public static DBGVariable<?> chooseVariable(Scanner sc, DBGController controller, DBGSession session)            throws DBGException {        DBGVariable<?> v = null;        List<? extends DBGVariable<?>> vars = session.getVariables(null);        Scanner scArg;        if (vars.size() == 1) {            v = vars.get(0);        } else {            System.out.println(""Choose variable (0 for quit) :"");            int varNo = 1;            for (DBGVariable<?> cv : vars) {                System.out.println(String.format("" (%d) %s"", varNo++, cv.toString()));            }            int varId = -1;            while (varId < 0) {                String argc = sc.nextLine();                String strvarid = """";                scArg = new Scanner(argc);                if (scArg.hasNext()) {                    strvarid = scArg.next();                    if (strvarid.trim().length() > 0) {                        try {                            varId = Integer.valueOf(strvarid);                        } catch (Exception e) {                            System.out.println(String.format(""Incorrect var ID %s"", strvarid));                            varId = -1;                        }                        if (varId == 0) {                            break;                        }                        if (varId > vars.size()) {                            System.out.println(String.format(""Incorrect var ID %s"", strvarid));                            varId = -1;                        } else {                            v = vars.get(varId - 1);                            break;                        }                    }                }                scArg.close();            }        }        return v;    }    public static DBGBreakpointDescriptor chooseBreakpoint(Scanner sc, DBGController controller, DBGSession session)            throws DBGException {        DBGBreakpointDescriptor bp = null;        List<? extends DBGBreakpointDescriptor> bps = session.getBreakpoints();        Scanner scArg;        if (bps.size() == 1) {            bp = bps.get(0);        } else {            System.out.println(""Choose breakpoint (0 for quit) :"");            int bpNo = 1;            for (DBGBreakpointDescriptor b : bps) {                System.out.println(String.format("" (%d) %s"", bpNo++, b.toString()));            }            int bpId = -1;            while (bpId < 0) {                String argc = sc.nextLine();                String strBpid = """";                scArg = new Scanner(argc);                if (scArg.hasNext()) {                    strBpid = scArg.next();                    if (strBpid.trim().length() > 0) {                        try {                            bpId = Integer.valueOf(strBpid);                        } catch (Exception e) {                            System.out.println(String.format(""Incorrect session ID %s"", strBpid));                            bpId = -1;                        }                        if (bpId == 0) {                            break;                        }                        if (bpId > bps.size()) {                            System.out.println(String.format(""Incorrect breakpoint ID %s"", strBpid));                            bpId = -1;                        } else {                            bp = bps.get(bpId - 1);                            break;                        }                    }                }                scArg.close();            }        }        return bp;    }    public static DBGSession chooseSession(Scanner sc, DBGBaseController controller) throws DBGException {        DBGSession debugSession = null;        List<DBGSession> sessions = controller.getSessions();        Scanner scArg;        if (sessions.size() == 1) {            debugSession = sessions.get(0);        } else {            System.out.println(""Choose debug session (0 for quit) :"");            int sessNo = 1;            for (DBGSession s : sessions) {                System.out.println(String.format("" (%d) %s"", sessNo++, s.toString()));            }            int sessionId = -1;            while (sessionId < 0) {                String argc = sc.nextLine();                String strSessionid = """";                scArg = new Scanner(argc);                if (scArg.hasNext()) {                    strSessionid = scArg.next();                    if (strSessionid.trim().length() > 0) {                        try {                            sessionId = Integer.valueOf(strSessionid);                        } catch (Exception e) {                            System.out.println(String.format(""Incorrect session ID %s"", strSessionid));                            sessionId = -1;                        }                        if (sessionId == 0) {                            break;                        }                        if (sessionId > sessions.size()) {                            System.out.println(String.format(""Incorrect session ID %s"", strSessionid));                            sessionId = -1;                        } else {                            debugSession = sessions.get(sessionId - 1);                            break;                        }                    }                }                scArg.close();            }        }        return debugSession;    }    public static void main(String[] args) throws DBGException {        String url = ""jdbc:postgresql://192.168.229.133/postgres?user=postgres&password=postgres&ssl=false""; // ""jdbc:postgresql://localhost/postgres?user=postgres&password=postgres&ssl=false"";        DBPDataSourceContainer dataSource = null;        Connection conn;        DBGBaseController controller;        try {            conn = DriverManager.getConnection(url);        } catch (SQLException e) {            e.printStackTrace();            return;        }        // TODO: fix connection        controller = new PostgreDebugController(dataSource, new HashMap<>());        Scanner sc = new Scanner(System.in);        Scanner scArg;        String command;        while (true) {            System.out.print(PROMPT);            command = sc.next();            switch (command.toUpperCase()) {            case COMMAND_HELP:                System.out.println(""W Show sessions"");                System.out.println(""N New session"");                System.out.println(""D Show debug objects"");                System.out.println(""S Stack"");                System.out.println(""F Frame"");                System.out.println(""V Variables"");                System.out.println(""= Set Variables"");                System.out.println(""L List breakpoint(s)"");                System.out.println(""Q List debug session(s)"");                System.out.println(""B Set breakpoint"");                System.out.println(""R Remove breakpoint"");                System.out.println(""C Continue execution"");                System.out.println(""I Step into"");                System.out.println(""O Step over"");                System.out.println(""X Close session"");                System.out.println(""T Abort session"");                System.out.println(""E Exit debugger"");                System.out.println(""? This help"");                break;            case COMMAND_CLOSE:                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSessionC = chooseSession(sc, controller);                if (debugSessionC == null) {                    break;                }                debugSessionC.closeSession(new VoidProgressMonitor());                System.out.println(""Session closed"");                break;            case COMMAND_STACK:                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSessionSL = chooseSession(sc, controller);                if (debugSessionSL == null) {                    break;                }                List<? extends DBGStackFrame> stack = debugSessionSL.getStack();                if (stack.size() == 0) {                    System.out.println(""No stack defined"");                }                for (DBGStackFrame s : stack) {                    System.out.println(s.toString());                }                break;            case COMMAND_FRAME:                System.out.println(""FRAME!!!"");                break;            case COMMAND_VARIABLES:                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSessionVL = chooseSession(sc, controller);                if (debugSessionVL == null) {                    break;                }                List<? extends DBGVariable<?>> vars = debugSessionVL.getVariables(null);                if (vars.size() == 0) {                    System.out.println(""No vars defined"");                }                for (DBGVariable<?> v : vars) {                    System.out.println(v.toString());                }                break;            case COMMAND_VARIABLE_SET:                String strVal = """";                String argcV = sc.nextLine();                if (argcV.length() > 0) {                    scArg = new Scanner(argcV);                    if (scArg.hasNext()) {                        strVal = scArg.next();                    }                    scArg.close();                }                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSessionVS = chooseSession(sc, controller);                if (debugSessionVS == null) {                    break;                }                DBGVariable<?> var = chooseVariable(sc, controller, debugSessionVS);                if (var == null) {                    break;                }                debugSessionVS.setVariableVal(var, strVal);                System.out.println(String.format(""Variable Set %s"", strVal));                break;            case COMMAND_BREAKPOINT:                String strObjId = ANY_ARG;                String strLineNo = ANY_ARG;                String argc = sc.nextLine();                if (argc.length() > 0) {                    scArg = new Scanner(argc);                    if (scArg.hasNext()) {                        strObjId = scArg.next();                        if (scArg.hasNext()) {                            argc = scArg.nextLine();                            if (argc.length() > 0) {                                strLineNo = argc;                            }                        }                    }                    scArg.close();                }                Integer objId = -1;                try {                    objId = Integer.valueOf(strObjId.trim());                } catch (Exception e) {                    System.out.println(String.format(""Incorrect object ID '%s'"", strObjId));                    break;                }                int lineNo = -1;                if (strLineNo.trim().length() > 0) {                    try {                        lineNo = Integer.valueOf(strLineNo.trim());                    } catch (Exception e) {                        System.out.println(String.format(""Incorrect line number '%s'"", strLineNo));                        break;                    }                }                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSession = chooseSession(sc, controller);                if (debugSession == null) {                    break;                }                PostgreDebugBreakpointDescriptor descriptor = lineNo > 0                        ? new PostgreDebugBreakpointDescriptor(1, lineNo, true)                        : new PostgreDebugBreakpointDescriptor(1, true);                debugSession.addBreakpoint(new VoidProgressMonitor(), descriptor);                System.out.println(""Breakpoint added"");                System.out.println(descriptor.toString());                break;            case COMMAND_BREAKPOINT_LIST:                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSessionBL = chooseSession(sc, controller);                if (debugSessionBL == null) {                    break;                }                if (debugSessionBL.getBreakpoints().size() == 0) {                    System.out.println(""No breakpoints defined"");                }                for (DBGBreakpointDescriptor bpl : debugSessionBL.getBreakpoints()) {                    System.out.println(bpl.toString());                }                break;            case COMMAND_BREAKPOINT_REMOVE:                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSessionBR = chooseSession(sc, controller);                if (debugSessionBR == null) {                    break;                }                if (debugSessionBR.getBreakpoints().size() == 0) {                    System.out.println(""No breakpoints defined"");                }                DBGBreakpointDescriptor bpr = chooseBreakpoint(sc, controller, debugSessionBR);                debugSessionBR.removeBreakpoint(new VoidProgressMonitor(), bpr);                System.out.println(""Breakpoint removed ..."");                break;            case COMMAND_CONTINUE:                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSessionSC = chooseSession(sc, controller);                if (debugSessionSC == null) {                    break;                }                debugSessionSC.execContinue();                System.out.println(""Continue ..."");                break;            case COMMAND_INTO:                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSessionSI = chooseSession(sc, controller);                if (debugSessionSI == null) {                    break;                }                debugSessionSI.execStepInto();                System.out.println(""Step Into ..."");                break;            case COMMAND_OVER:                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSessionSO = chooseSession(sc, controller);                if (debugSessionSO == null) {                    break;                }                debugSessionSO.execStepOver();                System.out.println(""Step over ..."");                break;            case COMMAND_SESSIONS:                break;            case COMMAND_DEBUG_LIST:                if (controller.getSessions().size() == 0) {                    System.out.println(""no debug sessions"");                    break;                }                for (DBGSession s : controller.getSessions()) {                    System.out.println(s);                }                break;            case COMMAND_NEW:                try {                    Connection debugConn = DriverManager.getConnection(url);                    // TODO: fix connection                    DBCExecutionContext executionContext = null;                    DBGSession s = controller.createSession(new VoidProgressMonitor(), new HashMap<>());                    System.out.println(""created"");                    System.out.println(s);                } catch (SQLException e) {                    e.printStackTrace();                    break;                }                break;            case COMMAND_OBJ:                String proc = ANY_ARG;                String owner = ANY_ARG;                String arg = sc.nextLine();                if (arg.length() > 0) {                    scArg = new Scanner(arg);                    if (scArg.hasNext()) {                        proc = scArg.next();                        if (scArg.hasNext()) {                            arg = scArg.nextLine();                            if (arg.length() > 0) {                                owner = arg;                            }                        }                    }                    scArg.close();                }                break;            case COMMAND_ATTACH:                if (controller.getSessions().size() == 0) {                    System.out.println(""Debug sessions not found"");                    break;                }                DBGSession debugSessionA = chooseSession(sc, controller);                if (debugSessionA == null) {                    break;                }                System.out.println(""Waiting for target session ..."");                // FIXME:AF: Andrew, please migrate to                // attach(JDBCExecutionContext connection,int OID,int targetPID)                // API                // debugSessionA.attach(false);                break;            case COMMAND_TERMINATE:                System.out.println(""EXIT....."");                return;            default:                System.out.println(String.format(""Unnown command '%s' for command list type ?"", command));                break;            }        }    }*/",1,1,0,1,-1,-1,-1,-1
/* HACK: antialiasing occupies one extra pixel */,1,1,1,1,-1,-1,-1,-1
"/* TODO: should throw this immediately, but need artifact        else        {            throw new OverConstrainedVersionException( ""Restricting incompatible version ranges"" );        }*/",1,1,1,1,-1,-1,-1,-1
/** * Copy-pasted from PostgreSQL implementation. * TODO: Vertica is originally based on PG. Maybe we should refactor this stuff somehow. */,1,1,1,1,-1,-1,-1,-1
/** * DBTTaskConfigPanel. * TODO: move it to UI module and use real classes instead of Object */,1,1,1,1,-1,-1,-1,-1
/** * Eclipse hack. Disables/enabled all key bindings in specified site's part. Works only if host editor is extender of * AbstractTextEditor Uses reflection because setActionActivation is private method * TODO: find better way to disable key bindings or prioritize event handling to widgets * * @param partSite workbench part site * @param enable enable or disable */,1,1,1,1,-1,-1,-1,-1
/** * FIXME: this is a hack. We need to call platform (workbench) to refresh part's contexts (enabled commands). * There is no such thing as part in abstract UI. Need some better solution. */,1,1,1,1,-1,-1,-1,-1
"/** * It is a hack function. Generally all command associated widgets should be updated automatically by framework. * Freaking E4 do not do it. I've spent a couple of days fighting it. Guys, you owe me. */",1,1,1,1,-1,-1,-1,-1
/** * ResultSetViewer * * TODO: not-editable cells (struct owners in record mode) * TODO: PROBLEM. Multiple occurrences of the same struct type in a single table. * Need to make wrapper over DBSAttributeBase or something. Or maybe it is not a problem * because we search for binding by attribute only in constraints and for unique key columns which are unique? * But what PK has struct type? */,1,1,1,1,-1,-1,-1,-1
