commenttext,classification
this is deprecated use classespath in the future,1
xxx this array stuff is a remnant of prev trial got ta remove,1
set the number of millisecond leeway to give before deciding a target is out of date todo this is not yet used param granularity the granularity used to decide if a target is out of date,1
this may change if we add advanced parsing capability,1
we assume that every output jikes doe stand for an errorwarning xxx is this correct \?,1
the line below is a hack the system id must an uri but it is not cleat to get the uri of an resource so just set the name of the resource a a system id,1
xxx what is the following doing \? should it run if ! javadoc executable ! null \?,1
mac o and previous todo i have no idea how to get it someone must fix it,1
todo nothing appears to read this but is set using a public setter,1
xxx we are committing combiningchar and extender here,1
xxx failed to load the class properly should we print a warning here \?,1
xxx could perhaps also call thread stop not sure if anyone care,1
xxx perhaps we should not use property for these three option emacs mode warning and pedantic but include it in the javac directive \?,1
xxx maybe use reflection to addpathelement other pattern \?,1
todo there is a problem with the constructor for the rbc you have to provide the rule in the constructor no setter available,1
probably not the best choice but it solves the problem of relative path in classpath,1
fix for invalid character if you think of more add to the list,1
fallback in case we have trouble loading the class or do not know how to handle it there is no easy way to know what idl mode would generate this is supposed to make ant always recompile the class a a file of that name should not exist,1
check it out also ugly,1
i can not get my head around this is encoding treatment needed here \?,1
quick dirty to make nested mapped p set work,1
xxx is this code still necessary \? is there any port \? pull in zip from package directory,1
only the developer know what s he is doing,1
xxx unfortunately jdk add entryset keyset value implementing this requires a small hack we can add it later,1
first developer could use a little help,1
xxx should throw an exception instead \?,1
xxx should throw an exception instead \?,1
xxx should throw an exception instead \?,1
xxx should we silently catch possible exception and try to load a different implementation \?,1
xxx should we silently catch possible exception and try to load a different implementation \?,1
since java return normalizedpath split workaround for java,1
hammer end inline maingtu,1
this array really should not be here again for historical purpose it is fixme this array should be in a private or package private location since it could be modified by malicious code,1
should move to a separate public class and have api to add listener etc,1
should become a single empty argument same for `` pr,1
not very nice but will do the job,1
provide public visibility,1
not used but public so theoretically must remain for bc \?,1
super validateattributes do not want to call this method,1
xxx what is this for \?,1
we keep this so we have something to delete in later test,1
copied from concattest,1
not sure whether this is clean but this method is declared not to throw exception,1
we just set the prefix for this fileset and pas it up do we need to do this \? lh,1
why do we do nothing \?,1
we have to deal with assembly ! ! ! the programmer can be writing little byte chunk for all we know and we must assemble complete record for writing review maybe this should be in tarbuffer \? could that help to eliminate some of the buffer copying,1
this is the new better way use classespath instead of sourcespath the code is currently the same you need class file in a directory to use this or jar file,1
xxx why not simply new file dir filename \?,1
this is ugly checking for the root folder,1
todo parameterise \? \? call compiler a class dont want to fork again use classic compiler can be parameterised \?,1
xxx all this to get package according to weblogic standard can be written better this is too hacky ! careful similar code in scandir but slightly different ! !,1
stolen from writemanifest,1
if the jarfile already exists then whack it and recreate it should probably think of a more elegant way to handle this so that in case of error we do not leave people worse off than when we started,1
xxx is the following really necessary \? it is in the same thread group,1
we have to find a cleaner way to put this output,1
this is the old way and is deprecated classespath is the right way to do this and is above,1
for script example that modifies id'ed task in other target to work very ugly the reference is replaced by runtimeconfigurable,1
do not call super close because that reader is used on other place,1
report error if something weird happens this is diagnostic,1
sorry otherwise we will get a classcastexception because the mockcache is loaded by two different classloader,1
hack we ask the vm to create an instance by voluntarily providing illegal argument to force the vm to run the class static initializer while at the same time not running a valid constructor,1
singleton for now it may change perclassloader,1
xxx should not this always return false in isolated mode \?,1
to do delete the file if it is not a valid file,1
todo comment field doe not include all option yet,1
to do delete the file if it is not a valid file,1
this method check the timestamp on each file listed in the ejbfiles and compare them to the timestamp on the jarfile if the jarfile 's timestamp is more recent than each ejb file true is returned otherwise false is returned todo find a way to check the manifest file that is found by naming convention param ejbfiles hashtable of ejb class and other file that will be added to the completed jar file param jarfile jar file which will contain all of the ejb class and other file return boolean indicating whether or not the jarfile is up to date,1
have to think about lazy initialization here jhm comparator new java text rulebasedcollator,1
todo comment field doe not include all option yet,1
todo no method yet for getclassname todo no method for newinstance using a reverse classloader,1
the displayname variable store the value of the display name element from the standard ejb descriptor a a future enhancement to this task we may determine the name of the ejb jar file using this display name but this ha not be implemented yet,1
an output stream that compress into the bzip format without the file header char into another stream the compression requires large amount of memory thus you should call the link close close method a soon a possible to force cbzip outputstream to release the allocated memory you can shrink the amount of allocated memory and maybe raise the compression speed by choosing a lower blocksize which in turn may cause a lower compression ratio you can avoid unnecessary memory allocation by avoiding using a blocksize which is bigger than the size of the input you can compute the memory usage for compressing by the following formula k blocksize to get the memory required for decompression by link cbzip inputstream cbzip inputstream use k blocksize memory usage by blocksize blocksize compressionmemory usage decompressionmemory usage k k k k k k k k k k k k k k k k k k k k k k k k k k k for decompression cbzip inputstream allocates le memory if the bzipped input is smaller than one block instance of this class are not threadsafe todo update to bzip,1
xxx log an error \? throw an exception \?,1
todo allow user to request the system or no parent,1
if there wa any text before this add it a a fragment todo this check could be modified to go if po prev seems like this current version could stick empty string into the list,1
xxx add exception,1
todo this is duplicating testresult information only the time is not part of the result so we 'd better derive a new class from testresult and deal with it sb,1
not sure whether this test is needed but cost nothing to put hope it will be reviewed by anybody competent,1
testcases for link xsltprocess task xxx merge with link xslttest \? version,1
doe not work depending on the compression engine used compressed byte may differ false error would be reported asserttrue file content mismatch file utils contentequals project resolvefile expectedasf logo huge tar bz project resolvefile asf logo huge tar bz,1
this is the wrong test if the remote o is openvms but there doe not seem to be a way to detect it,1
process doe not die properly under this combination thus test fails no workaround \?,1
junit test assertequals error junittestrunner failure runner getretcode fixme a of now doe not report the original stacktrace asserttrue error error indexof thrown on purpose !,1
the property is an id 's thing either a property or a path we need to make sure that the object wa created with the given id we do not have an adequate way of testing the actual value of the path object though,1
where oh where ha my test case gone \?,1
attribute name and value while the xml spec doe not require preserving the order afaik some ant test do rely on the exact order the following code is copied from attributeimpl we could also just use sax attribute and convert to sax dom attribute node can also be stored in sax attribute xxx under jdk you can just use a linkedhashmap for this purpose jglick the only exception to this order is the treatment of refid a number of datatypes check if refid is set when other attribute are set this check will not work if the build script ha the other attribute before the refid attribute so now ant the refid attribute will be processed first,1
test a process that run and failed,0
ignore,0
process should abort,0
user password host path notation,0
param event the build event that is being logged,0
only track progress for file larger than kb in verbose mode,0
element doe not handle text content,0
send c filesize filename where filename should not include ``,0
clearcase item,0
assign actual code for the table,0
reserved,0
size of the central directory,0
gcj doe not support an extension dir extdir so we 'll emulate it for compatibility and convenience,0
at this point we are probably in failure mode but try to use the bare uri a a last gasp,0
unreserved,0
datatype can have a no arg constructor or take a single project argument,0
out,0
b may be for success for error for fatal error,0
not whitespace fail,0
fall tru,0
ndata,0
c filesize filename header for a regular file t time time n present if perserve time d directory this is the header for a directory,0
version,0
fall tru,0
wince is not really x but crippled enough to be a muchness ant doesnt run on ce anyway,0
ignore,0
nwarn,0
if a label ha been supplied and it is a revision label use the raw the view a the snapshot,0
class doe not have a string constructor but a decent factory method,0
total number of entry in,0
check for r r n and r r n regard r r not followed by n a two line,0
success ! the xml common resolver library is available so use it,0
it is a new file set the revision but not the prevrevision,0
catch scriptant mismatch with a meaningful message we could ignore it but there are likely to be other version problem so we stamp down on the configuration now,0
do not know the type should throw exception instead \?,0
ignore,0
char and character get special treatment take the first character,0
do nothing,0
scan base dirs to build up compile list only if a specific classname is not given,0
write a property file in each directory,0
simple name specified parent dir name,0
requires version a we are going to store length info in the data descriptor,0
the test runner that wrap the dummy formatter that interest u,0
checkstyle visibilitymodifier off bc,0
first try with project,0
the resourcelocation may specify a relative path for it location attribute this is resolved using the appropriate base,0
can return null to represent the bootstrap class loader see api doc of class getclassloader,0
start of the central directory,0
private static final int get entry,0
file comment,0
there were no revision in this changelog entry so let move onto next file,0
same date if dest timestamp is within granularity of the srcfile,0
must be add,0
somewhat arbitrary choice that are quite common for shared installation,0
enumeratedattributes have their own helper class,0
selector are implicitly anded in directoryscanner to revert their logic we wrap them into a selector instead,0
first off make sure that we 've got a srcdir and destdir,0
zip store time with a granularity of second round up,0
viewpath,0
helper method should be in buildfiletest,0
build the command line from what we got the format is cleartool lsco option viewpath a specified in the cleartool exe help,0
checkstyle visibilitymodifier off bc,0
check if list of file to check ha been specified,0
testnocrash is the test invoked by the capturetosummary 's junit task,0
if the two substring are longer than the original then name contains address so reset the name to null,0
default,0
log option used,0
ignore,0
version,0
ignore,0
nwarn,0
ignore,0
dummy formatter just to catch the error,0
we do not expect to find this,0
resolve relative path through project,0
ignore,0
patch file into the fileset,0
we do not expect to find this,0
type value,0
bit set to signal we use a data descriptor,0
c,0
default,0
underscore go in front of invalid start char,0
use to scan own archive,0
test the link xsltprocess task xxx merge with link styletest \? since ant,0
pr,0
it is a modified file set the revision and the prevrevision,0
throw in drive letter,0
set our parent dir,0
promised to eliminate consecutive slash after drive letter,0
c,0
promised to eliminate consecutive slash after drive letter,0
cfile,0
avoid multiple configuration,0
version to use for addxxx and addconfiguredxxx,0
pr,0
compare the destination with the temp file,0
pr,0
cfile,0
pr,0
smtp auth only allowed with mime mail,0
all three specified and all three exist true,0
cfile,0
can return null to represent the bootstrap class loader see api doc of class getclassloader,0
an address to send from is required,0
file is not found in specified filepath,0
set the character set if not done already and required,0
is ! and even so it is considered failure on any platform currently supported by execute isfailure,0
checkstyle membernamecheck on,0
ignore,0
eof ha been reached,0
decide whether to copy the existing arg set or build a new one from the list of all args excluding the special operation that only we handle,0
type,0
checkstyle visibilitymodifier off bc,0
wait for time out there should be about time out m remaining before timeout,0
fragment addelement value substring po po prev po,0
well no matching constructor,0
check that dir and src are incompatible,0
ok try without,0
ignore,0
checkstyle visibilitymodifier on,0
set up a vsshistory task,0
ptime,0
ignore,0
throw ejbcexception if unsuccessful,0
test one the file object,0
make a limited attempt to extract a sanitized name and email address algorithm based on the one found in ant 's mailmessage java,0
if the file being added is meta infapplication xml we warn if it 's not the one specified in the appxml attribute or if it 's being added twice meaning the same file is specified by the appxml attribute and in a element,0
if at eolcount and trailing character of string are ctrl z set eofstr,0
we have extra element,0
keep,0
test one the file object,0
keep searching for the first z,0
viewpath,0
identical,0
conversion to url via fileutils like in xmlresultaggregator not a suggested in the bug report,0
trailing character are z construct new line and eofstr,0
checkstyle visibilitymodifier off bc,0
check for required attribute,0
checkstyle visibilitymodifier off bc,0
do nothing,0
checkstyle visibilitymodifier off bc,0
permissible value for compression attribute,0
fall tru,0
build the command line from what we got the format is cleartool mkattr option viewpath a specified in the cleartool help,0
testcases for the cache implementation,0
default,0
doe the selection,0
replace,0
should be full moon,0
add or add configured,0
s a further s,0
for directory,0
s a further s,0
recurse,0
checkstyle visibilitymodifier off bc,0
renamed version of original file if it exists,0
order of header can not be guaranteed,0
type,0
ignore,0
now stop the watchdog,0
checkstyle visibilitymodifier off bc,0
the method called to set the attribute,0
checkstyle visibilitymodifier off bc,0
add the file found in groupfileset to fileset,0
checkstyle visibilitymodifier off bc,0
can also handle empty archive,0
checkstyle visibilitymodifier off bc,0
maintain a sorted list of target,0
checkstyle visibilitymodifier off bc,0
quick exit if the target is up to date,0
checkstyle visibilitymodifier off bc,0
viewpath,0
checkstyle visibilitymodifier off bc,0
choosing character set of the mail message first looking it from mimetype,0
checkstyle visibilitymodifier off bc,0
next looking if charset having explicit definition,0
checkstyle visibilitymodifier off bc,0
scanner to find our input list of file to process,0
checkstyle visibilitymodifier off bc,0
if src and dest dirs are the same require the extension to be set so we do not stomp every file one could still include a file with the same extension but,0
checkstyle visibilitymodifier off bc,0
viewpath,0
checkstyle visibilitymodifier off bc,0
viewpath,0
ignore,0
clearcase item,0
checkstyle visibilitymodifier off bc,0
clearcase item,0
ignore,0
checkstyle visibilitymodifier off bc checkstyle membernamecheck off bc,0
checkstyle visibilitymodifier off bc,0
couldnt use the xerces or jaxp call,0
checkstyle visibilitymodifier off bc,0
nwarn,0
checkstyle visibilitymodifier off bc,0
c,0
checkstyle visibilitymodifier off bc,0
c,0
checkstyle visibilitymodifier off bc,0
enable schema setfeature xmlconstants feature validation false,0
checkstyle visibilitymodifier off bc,0
cfile,0
checkstyle visibilitymodifier off bc,0
first cr in this line,0
checkstyle visibilitymodifier off bc,0
if this is our context we assume there must be something here,0
checkstyle visibilitymodifier off bc,0
wait for the thread to die should be the end of the process,0
checkstyle visibilitymodifier off bc,0
we are recreating the archive need all resource,0
checkstyle visibilitymodifier off bc,0
ptime,0
checkstyle visibilitymodifier off bc,0
keep,0
checkstyle visibilitymodifier off bc,0
window quoting of the value,0
checkstyle visibilitymodifier on,0
mac style linebreak or eof or both,0
checkstyle visibilitymodifier on,0
build the command line from what we got the format is cleartool mkelem option viewpath a specified in the cleartool exe help,0
fall tru,0
variable to hold argument,0
impossible a getmethods should only return public method,0
copy the source and support file,0
boolean and boolean get special treatment because we have a nice method in project,0
create an array of string for input to the compiler one array come from the compile option the other from the compilelist,0
impossible a getmethods should only return public method,0
should choose either ci or nco,0
impossible a getmethods should only return public method,0
nco,0
'sync is needed otherwise thread can load the same class twice resulting in linkageerror duplicated class definition findloadedclass avoids that but without sync it will not work,0
nco,0
make sure we are not going to get the path separator next,0
error level logging for compiler error,0
execute the top level target,0
need to reset java class path property since the netrexx compiler ha no option for the classpath,0
the current character is always emitted,0
check the command line option,0
if at eof with no character in the buffer return eof,0
ant task property default checkstyle visibilitymodifier off bc,0
set inexcludes to reasonable default if needed,0
delete a bogus zip file but only if it 's not the original one,0
if parent is null then we are at the root of the f complain that we can not find the build file,0
ci,0
"""""",0
object selector,0
ignore path element which are invalid relative to the project,0
in this case using java util zip will not work because it doe not permit a zero entry archive must create it manually,0
record data about the last scanned resource,0
build the command line from what we got the format is cleartool uncheckout option viewpath a specified in the cleartool exe help,0
not significant for the class loader,0
cf pkzip specification,0
ignore,0
master,0
initialize the globalfileset 's project,0
rm,0
not significant for the class loader,0
i 'm not fond of this pattern sub method expected to throw task cancelling exception it feel too much like programming for side effect to me,0
do not have to check for public since getmethod find public method only do not have to check for abstract since then taskclass would be abstract too,0
overriding target from imported buildfile is allowed,0
not significant for the class loader,0
end of try catch,0
not significant for the class loader,0
p k,0
sorted by newest kaffe version first,0
remainder zero,0
first build exception,0
eltype,0
not been visited,0
create the stream pumpers to forward listcab 's stdout and stderr to the log note listcab is an interactive program and issue prompt for every new line therefore make it show only with verbose logging turned on,0
ignore,0
create,0
ignore,0
we are recreating the archive need all resource,0
attribute,0
the buildfile to use,0
not included do nothing,0
process should be dead and well finished,0
mac,0
end of try catch,0
not included do nothing,0
already present,0
empty,0
initialresources is not empty,0
avoid double scanning of directory can only happen in fast mode,0
initialresources is not empty,0
the current character is always emitted,0
default to string type which mean do nothing,0
ignore,0
higher derived,0
predefined filter,0
we are recreating the archive need all resource,0
ignore,0
if only value is specified the property is set to it regardless of it previous value,0
common property the following property are required by import and other task that read build file using projecthelper,0
if value and default are both specified and the property did not exist in the property file the property is set to default,0
empty,0
we are recreating the archive need all resource,0
collect filesets to pas them to getresourcestoadd,0
viewpath,0
check to what is in the classname,0
version,0
bad luck there are resource in the filesets that make the archive out of date but not in the non fileset resource we need to rescan the non filesets to grab all of them now,0
no emptybehavior handling since the fileset version will take care of it,0
not significant for the class loader,0
c,0
may be altered in validate,0
c,0
calculate our destination directory it is either the destdir attribute or the base dir of the fileset for in situ update,0
we will return initialresources anyway no reason to scan further,0
error message,0
cfile,0
not a known type,0
cfile,0
ignore,0
no point in setting a message,0
if filename doe not match the to attribute of the mapper then filter it out of the file we are considering,0
we will return initialresources anyway no reason to scan further,0
the current character is always emitted,0
warn do not use the streamsource file ctor it will not work with xalan prior to because of systemid bug,0
disk number start,0
rmall force,0
ignore,0
byte byte compare,0
ignore,0
specify output in utf otherwise accented character will blow up everything,0
ignore,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
ignore,0
print the stacktrace in the build file it is always useful better have too much info than not enough,0
may be on a case insensitive file system we want the result to show what 's really on the disk so we need to double check,0
zip store time with a granularity of second round up,0
"""""",0
build the command line from what we got the format is cleartool checkin option viewpath a specified in the cleartool exe help,0
put back the original security manager the following will never eval to true pd,0
identical,0
the current character is always emitted,0
param event the build event that is being logged,0
all the name are the same check if the class path of the loader is the same,0
for debugging purpose uncomment org w c dom comment s doc createcomment stack threadstack buildelement element appendchild s,0
find the line break and pas other char through in block,0
do not add directory we 've already added no warning if we try it is harmless in and of itself,0
checkstyle visibilitymodifier on,0
check for required attribute,0
checkstyle visibilitymodifier off bc,0
check for required attribute,0
checkstyle visibilitymodifier off bc,0
replace,0
checkstyle visibilitymodifier off bc,0
recurse,0
checkstyle visibilitymodifier off bc,0
buildlogger interface,0
checkstyle visibilitymodifier off bc,0
swallow the basedir it seems asserttrue ! getproject resolvefile a exists,0
checkstyle visibilitymodifier off bc,0
use a stream so that you can close it yourself quickly and avoid keeping the handle until the object is garbaged always keep control otherwise you will not be able to delete the file quickly on window,0
checkstyle visibilitymodifier off bc,0
return list of ejbs for processing,0
checkstyle visibilitymodifier off bc,0
a refid attribute for a node within a path object,0
ignore exception,0
type kind type name,0
checkstyle visibilitymodifier off bc,0
ignore,0
checkstyle visibilitymodifier off bc,0
junit doe not distinguish between error and failure even in the junit adapter so we need to help it a bit to retain compatibility for junit test,0
checkstyle visibilitymodifier off bc,0
get the fileset and it basedir,0
checkstyle visibilitymodifier off bc,0
should not happen,0
checkstyle visibilitymodifier off bc,0
return the type selector,0
now another magic bit number x to indicate the end of the last block sqrt pi if you want to know i did want to use e but it contains too much repetition for me to feel statistically comfortable call me paranoid,0
lf is always end of line i e crlf or single lf,0
checkstyle visibilitymodifier off bc,0
full,0
checkstyle visibilitymodifier off bc,0
sort the list make scm and manual diffs easier,0
checkstyle visibilitymodifier off bc,0
create xml document,0
ignore,0
incremental,0
checkstyle visibilitymodifier off bc,0
get the fileset and it basedir,0
checkstyle visibilitymodifier off bc,0
cr without lf send buffer then add char,0
checkstyle visibilitymodifier off bc,0
nlabel,0
checkstyle visibilitymodifier off bc,0
implementation of org apache tool ant taskdefs executestreamhandler interface,0
checkstyle visibilitymodifier off bc,0
baseline root name,0
checkstyle visibilitymodifier off bc,0
add into buffer,0
checkstyle visibilitymodifier off bc,0
if configured to not care about whether the element is already checked out to the current view then check to see if it is checked out,0
s a further s,0
viewpath,0
info text list of file expected result result,0
call a target,0
just append begintoken and search further,0
get the fileset and it basedir,0
java home is bogus,0
set up a sosget task,0
try a silly case,0
either end of buffer or a line separator char,0
now ftab contains the first loc of every small bucket calculate the running order from smallest to largest big bucket,0
c,0
helper method and class,0
cfile,0
scenario test,0
build the command line from what we got the format is cleartool checkin option viewpath a specified in the cleartool exe help,0
testcases for the algorithm implementation,0
ptime,0
non nls,0
check for required attribute,0
nearly all time v is zero in most other case,0
check adapter,0
finally create the huffman table,0
ignore,0
do nothing,0
replace,0
pattern and string do not have the same size,0
replace,0
'' situation so skip one,0
default,0
build the command line from what we got the format is s label v item c h i llabel n o v y \? a specified in the s exe help,0
build the command line from what we got the format is cleartool lock option a specified in the cleartool exe help,0
getset method setter of course are where ant user pass in value,0
check the command line option,0
ignore,0
now we instantiate,0
getset method setter of course are where ant user pass in value,0
default,0
either use default path or root local mapping which is now embedded in the root folder,0
check the command line option,0
write the content to our master list of link this method assumes that all link are defined in term of absolute path or path relative to the working directory,0
object selector,0
mac doe n r but that 's tough to distinguish from window r n r n do not tackle that problem right now,0
zip store time with a granularity of second round up,0
s exe exit with when file have been skipped so we have to ignore the failure,0
ordinary,0
ignore,0
for debugging,0
conversion to url via fileutils like in xmlresultaggregator not a suggested in the bug report,0
set up project reference,0
test one the file object,0
checkstyle visibilitymodifier on,0
test one the file object,0
log logname,0
once we find a folder that is not in the repository we know we can add it,0
build the command line from what we got the format is cleartool lock option a specified in the cleartool exe help,0
if the file doe not pas the includeexclude test skip it,0
graphical,0
checkstyle visibilitymodifier off bc,0
overwrite,0
crc,0
set up a soscheckin task,0
the reader return if they end so simply read the prepend after that the content and at the end the append file,0
our current message output status follows project msg xxx,0
ignore,0
duplicate equal to add so we continue,0
if the permission wa not explicitly granted or revoked the original security manager will do it work,0
global,0
ignore,0
rename,0
requires version a we are going to store length info in the data descriptor,0
may be altered in validate,0
initializes extra data to an empty byte array,0
obsolete,0
fall through,0
noverwrite,0
we look through the source path element if the element is a dir we look for the file if it is a zip we look for the zip entry this is not normal for source path but we get it for free,0
null,0
local file header signature,0
set user defined property,0
ignore,0
set java built in property separately bc we will not inherit them,0
ignore,0
ctime,0
if verbosity is msg verbose that mean we are doing regular logging backwards a that sound in that case we want to print one message about deleting the top of the directory tree otherwise the removedir method will handle message for all directory,0
set up a soscheckin task,0
method below all add specific selector,0
expect the worst,0
checkstyle visibilitymodifier off bc,0
set all property from calling project,0
now any inner assertion,0
pbranch,0
append the suffix if not there already,0
file filesindir directory listfiles,0
convert to lower case in the english locale,0
ha been set explicitly,0
strip off drive letter ! review would a better check be file separator \?,0
shared,0
class found but restricted name this is actually the case we 're looking for in jdk so catch the exception and return,0
this is the list of lu,0
change this to get the object from the other reference,0
help the gc,0
may be null if a system property ha been added after the project instance ha been initialized,0
we have a file create a stream for it,0
method below all add specific selector,0
remove duplicate property last property win needed for backward compatibility,0
pr,0
set up a soscheckout task,0
ignored,0
set up a soscheckout task,0
no op,0
cycle through given args,0
basedir of subantsubant test subant xml is therefore we expect here the subant subdirectory,0
now add all reference that are not defined in the subproject if inheritrefs is true,0
helper method should be in buildfiletest,0
not clonable,0
wait second extra to allow for java to start this time wa ok on a win nt machine and on nagoya,0
set the flag to display the target and quit,0
keep track of what operating system are supported here,0
basedir and ant file get special treatment in execute,0
when the test is started by the build xml of ant if the property test and ant share classloader is not set in the build xml a sysproperty with name test and ant share classloader and value test and ant share classloader will be set we are trying to catch this here,0
do not re set user property avoid the warning message,0
null jdbc driver just for simple test since there are no db driver available a a default in ant,0
default directory to the project 's base directory,0
method below all add specific selector,0
eat up next arg if present default to build xml,0
private static final int bg black private static final int bg red private static final int bg green private static final int bg yellow private static final int bg blue private static final int bg magenta private static final int bg cyan private static final int bg white,0
no user property,0
checkstyle visibilitymodifier off bc,0
assume the worst,0
conversion to url via fileutils like in xmlresultaggregator not a suggested in the bug report,0
checkstyle visibilitymodifier on,0
file doe not exist property 'test null,0
get the sub project instance currently in use return project since ant,0
expectbuildexceptioncontaining testnotld jasper found an error in a file java returned,0
create a data input stream from the jar input stream,0
conversion to url via fileutils like in xmlresultaggregator not a suggested in the bug report,0
this iterator is exhausted can we pop one off the stack,0
test one the file object,0
if buildfile wa not specified on the command line,0
checkstyle visibilitymodifier off bc,0
check to make sure that the given dir is not a symlink the comparison of absolute path and canonical path catch this,0
doe not have a special meaning anymore this is different from what the unix sh doe but cause a lot of problem on do based platform otherwise,0
now recover all the dependency collected and add to the list,0
order of header can not be guaranteed,0
pick up the last round of dependency that were determined,0
checkstyle visibilitymodifier off bc,0
validation logic,0
checkstyle visibilitymodifier off bc,0
right we have a good looking class file,0
checkstyle visibilitymodifier off bc,0
int minorversion,0
checkstyle visibilitymodifier off bc,0
we have extra element,0
checkstyle visibilitymodifier off bc,0
but find then search for it,0
if the argument is not a string or location and if there is an overloaded form of this method already defined we just override that with the new one this mechanism doe not guarantee any specific order in which the method will be selected so any code that depends on the order in which set method have been defined is not guaranteed to be selected in any particular order,0
this isnt strictly needed but by being fussy now we can change implementation detail later,0
checkstyle visibilitymodifier off bc,0
int majorversion,0
checkstyle visibilitymodifier off bc,0
int accessflags,0
interestingly enough we get to here when a user us dnamevalue however in some case the o go ahead and par this out to args dname value so instead of parsing on we just make the d character go away and skip one argument forward i do not know how to predict when the jdk is going to help or not so we simply look for the equal sign,0
special case single jar handling with signedjar attribute set,0
checkstyle visibilitymodifier off bc,0
read the dependency cache from the disk,0
checkstyle visibilitymodifier off bc,0
not cached so need to read directly from the class file,0
convert the replyto string into a vector of emailaddresses,0
make sure buildfile exists,0
should always be the case,0
single jar processing,0
optional method you can override those method if you want to optimize or do advanced thing like support a special syntax the method do not chain you should use them when embedding ant by replacing the main helper,0
this class depends on each class in the dependency list for each one of those add this class into their affected class list,0
